,county_name,fips_code,state,blue_votes,red_votes,other_votes,blue_percentage,red_percentage,other_percentage
0,Autauga,1001.0,Alabama,5936,18172,865,0.2376967124494454,0.7276658791494814,0.03463740840107316
3,Baldwin,1003.0,Alabama,18458,72883,3874,0.193856010082445,0.765457123352413,0.040686866565142046
6,Barbour,1005.0,Alabama,4871,5454,144,0.46527844111185407,0.5209666634826631,0.013754895405482854
9,Bibb,1007.0,Alabama,1874,6738,207,0.21249574781721284,0.7640322031976414,0.023472048985145707
12,Blount,1009.0,Alabama,2156,22859,573,0.08425824605283727,0.8933484445833985,0.022393309363764265
15,Bullock,1011.0,Alabama,3530,1140,40,0.7494692144373672,0.24203821656050956,0.008492569002123142
18,Butler,1013.0,Alabama,3726,4901,105,0.4267063673843335,0.5612688960146587,0.012024736601007788
21,Calhoun,1015.0,Alabama,13242,32865,1757,0.2766588667892362,0.6866329600534848,0.03670817315727896
24,Chambers,1017.0,Alabama,5784,7843,273,0.41611510791366907,0.5642446043165468,0.019640287769784173
27,Cherokee,1019.0,Alabama,1547,8953,233,0.14413491102208142,0.8341563402590143,0.021708748718904314
30,Chilton,1021.0,Alabama,2911,15081,377,0.15847351516141325,0.8210027764167892,0.020523708421797595
33,Choctaw,1023.0,Alabama,3109,4106,77,0.4263576522216127,0.5630828304991772,0.010559517279210093
36,Clarke,1025.0,Alabama,5749,7140,142,0.4411787276494513,0.5479241807996317,0.010897091550917044
39,Clay,1027.0,Alabama,1237,5245,142,0.1867451690821256,0.7918176328502415,0.021437198067632852
42,Cleburne,1029.0,Alabama,684,5764,145,0.1037463976945245,0.8742605794023964,0.021993022903079022
45,Coffee,1031.0,Alabama,4221,15875,671,0.20325516444358838,0.7644339577213849,0.03231087783502672
48,Colbert,1033.0,Alabama,7312,16746,857,0.2934778246036524,0.6721252257676099,0.03439694962873771
51,Conecuh,1035.0,Alabama,3080,3420,85,0.4677296886864085,0.5193621867881549,0.012908124525436599
54,Coosa,1037.0,Alabama,1782,3381,89,0.3392993145468393,0.6437547600913938,0.016945925361766947
57,Covington,1039.0,Alabama,2387,13267,286,0.14974905897114177,0.8323086574654956,0.01794228356336261
60,Crenshaw,1041.0,Alabama,1664,4513,90,0.2655177916068294,0.720121270145205,0.014360938247965534
63,Cullman,1043.0,Alabama,3798,32989,1086,0.10028252316954031,0.8710426953238455,0.028674781506614212
66,Dale,1045.0,Alabama,4413,13808,528,0.23537255320283748,0.7364659448503921,0.028161501946770494
69,Dallas,1047.0,Alabama,12836,5789,167,0.6830566198382291,0.308056619838229,0.008886760323541933
72,DeKalb,1049.0,Alabama,3622,21405,799,0.1402462634554325,0.8288159219391311,0.030937814605436383
75,Elmore,1051.0,Alabama,8443,27634,1183,0.22659688674181427,0.7416532474503489,0.03174986580783682
78,Escambia,1053.0,Alabama,4605,9935,305,0.3102054563826204,0.6692489053553385,0.02054563826204109
81,Etowah,1055.0,Alabama,10442,32353,1369,0.2364369169459288,0.7325649850557014,0.030998097998369712
84,Fayette,1057.0,Alabama,1362,6712,175,0.165110922536065,0.813674384773912,0.021214692690023032
87,Franklin,1059.0,Alabama,2197,9466,377,0.18247508305647842,0.7862126245847176,0.031312292358803985
90,Geneva,1061.0,Alabama,1525,9994,239,0.12969892838918184,0.8499744854567103,0.02032658615410784
93,Greene,1063.0,Alabama,4013,838,29,0.8223360655737705,0.17172131147540984,0.005942622950819672
96,Hale,1065.0,Alabama,4775,3173,92,0.5939054726368159,0.39465174129353237,0.011442786069651741
99,Henry,1067.0,Alabama,2292,5632,148,0.2839444995044599,0.6977205153617443,0.018334985133795837
102,Houston,1069.0,Alabama,10664,30728,1247,0.25009967400736416,0.7206547995966134,0.02924552639602242
105,Jackson,1071.0,Alabama,3673,16672,639,0.17503812428516966,0.79451010293557,0.030451772779260387
108,Jefferson,1073.0,Alabama,156873,134768,12550,0.5157055928676391,0.4430374337176314,0.04125697341472956
111,Lamar,1075.0,Alabama,1036,5823,107,0.14872236577662934,0.8359173126614987,0.01536032156187195
114,Lauderdale,1077.0,Alabama,9952,27899,1674,0.25179000632511067,0.7058570524984187,0.042352941176470586
117,Lawrence,1079.0,Alabama,3627,10833,369,0.24458830669633824,0.730528019421404,0.024883673882257738
120,Lee,1081.0,Alabama,21230,34617,3344,0.35866939230626277,0.5848355324289165,0.056495075264820664
123,Limestone,1083.0,Alabama,9468,29067,1759,0.23497294882612796,0.7213729091179828,0.04365414205588922
126,Lowndes,1085.0,Alabama,4883,1751,50,0.7305505685218432,0.26196888090963494,0.007480550568521843
129,Macon,1087.0,Alabama,7566,1431,143,0.8277899343544858,0.15656455142231948,0.015645514223194747
132,Madison,1089.0,Alabama,62822,89520,11047,0.38449344815134434,0.5478949011255347,0.06761165072312089
135,Marengo,1091.0,Alabama,5615,5233,146,0.5107331271602692,0.47598690194651627,0.01327997089321448
138,Marion,1093.0,Alabama,1432,11274,278,0.11028958718422674,0.8682994454713494,0.021410967344423906
141,Marshall,1095.0,Alabama,4917,29233,1166,0.1392286782195039,0.8277551251557368,0.03301619662475932
144,Mobile,1097.0,Alabama,72186,95116,5435,0.417895413258306,0.5506405691889983,0.03146401755269572
147,Monroe,1099.0,Alabama,4332,5795,144,0.4217700321292961,0.564209911401032,0.014020056469671891
150,Montgomery,1101.0,Alabama,58916,34003,2959,0.6144892467510795,0.35464861594943575,0.03086213729948476
153,Morgan,1103.0,Alabama,11254,37486,1904,0.22221783429428954,0.7401863991785799,0.03759576652713056
156,Perry,1105.0,Alabama,3824,1407,47,0.7245168624478969,0.26657824933687,0.008904888215233043
159,Pickens,1107.0,Alabama,3972,5456,114,0.41626493397610564,0.5717878851393837,0.011947180884510585
162,Pike,1109.0,Alabama,5056,7693,419,0.3839611178614824,0.5842193195625759,0.03181956257594168
165,Randolph,1111.0,Alabama,2291,7705,191,0.2248944733483852,0.756356140178659,0.018749386472955726
168,Russell,1113.0,Alabama,9579,9210,467,0.49745533859576235,0.47829248026589116,0.024252181138346488
171,St.,1115.0,Alabama,5589,31651,1160,0.145546875,0.8242447916666666,0.030208333333333334
174,Shelby,1117.0,Alabama,22977,73020,5257,0.22692436842001304,0.7211566950441464,0.05191893653584056
177,Sumter,1119.0,Alabama,4746,1581,84,0.740290126345344,0.2466073935423491,0.013102480112306972
180,Talladega,1121.0,Alabama,12121,20614,672,0.3628281497889664,0.617056305564702,0.02011554464633161
183,Tallapoosa,1123.0,Alabama,5519,13594,373,0.2832289849122447,0.6976290670224776,0.019141948065277636
186,Tuscaloosa,1125.0,Alabama,31762,47723,3215,0.38406287787182586,0.577061668681983,0.038875453446191054
189,Walker,1127.0,Alabama,4497,24266,709,0.15258550488599348,0.82335776330076,0.02405673181324647
192,Washington,1129.0,Alabama,2374,6042,117,0.2782139927340912,0.7080745341614907,0.01371147310441814
195,Wilcox,1131.0,Alabama,4339,1737,42,0.709218698921216,0.28391631252043154,0.006864988558352402
198,Winston,1133.0,Alabama,872,9228,213,0.08455347619509357,0.8947929797343159,0.020653544070590515
201,Apache,4001.0,Arizona,17083,8240,2338,0.6175843245001988,0.2978923393948158,0.08452333610498536
204,Cochise,4003.0,Arizona,17450,28092,4473,0.3488953314005798,0.5616714985504349,0.08943317004898531
207,Coconino,4005.0,Arizona,32404,21108,6272,0.5420179312190553,0.35307105580088316,0.10491101298006156
210,Gila,4007.0,Arizona,7003,14182,1127,0.3138669774112585,0.6356220867694514,0.050510935819290066
213,Graham,4009.0,Arizona,3301,8025,808,0.27204549200593375,0.6613647601780122,0.06658974781605406
216,Greenlee,4011.0,Arizona,1092,1892,286,0.3339449541284404,0.5785932721712538,0.0874617737003058
219,La,4012.0,Arizona,1575,4003,373,0.2646614014451353,0.6726600571332549,0.0626785414216098
222,Maricopa,4013.0,Arizona,702907,747361,117566,0.44832998901669435,0.4766837560609095,0.07498625492239612
225,Mohave,4015.0,Arizona,17455,58282,4206,0.21834306943697385,0.7290444441664686,0.05261248639655755
228,Navajo,4017.0,Arizona,16459,20577,3258,0.4084727254678116,0.5106715640045665,0.08085571052762199
231,Pima,4019.0,Arizona,224661,167428,29551,0.5328265819182241,0.3970875628498245,0.07008585523195143
234,Pinal,4021.0,Arizona,47892,72819,8835,0.3696910749849474,0.5621092121717383,0.06819971284331434
237,Santa,4023.0,Arizona,11690,3897,846,0.7113734558510315,0.2371447696707844,0.05148177447818414
240,Yavapai,4025.0,Arizona,35590,71330,7530,0.3109654871122761,0.6232415902140673,0.06579292267365662
243,Yuma,4027.0,Arizona,24605,25165,3240,0.46415770609318996,0.47472175061309185,0.06112054329371817
246,Arkansas,5001.0,Arkansas,1939,3826,447,0.312137797810689,0.6159047005795235,0.0719575016097875
249,Ashley,5003.0,Arkansas,2408,5338,337,0.2979091921316343,0.6603983669429667,0.041692440925398984
252,Baxter,5005.0,Arkansas,4169,14682,915,0.21091773752909035,0.7427906506121623,0.04629161185874734
255,Benton,5007.0,Arkansas,28005,60871,7948,0.2892361398000496,0.628676774353466,0.08208708584648435
258,Boone,5009.0,Arkansas,2926,12235,950,0.18161504562100428,0.7594190304760723,0.05896592390292347
261,Bradley,5011.0,Arkansas,1317,2164,172,0.36052559540104023,0.5923898165891048,0.04708458800985491
264,Calhoun,5013.0,Arkansas,639,1556,74,0.28162185985015425,0.6857646540326134,0.03261348611723226
267,Carroll,5015.0,Arkansas,3342,6786,630,0.31065253764640266,0.6307863915225879,0.05856107083100948
270,Chicot,5017.0,Arkansas,2350,1716,110,0.5627394636015326,0.4109195402298851,0.026340996168582376
273,Clark,5019.0,Arkansas,3620,4404,502,0.4245836265540699,0.5165376495425756,0.05887872390335445
276,Clay,5021.0,Arkansas,1199,3781,220,0.23057692307692307,0.7271153846153846,0.04230769230769231
279,Cleburne,5023.0,Arkansas,2101,9458,526,0.17385188249896566,0.7826230864708316,0.04352503103020273
282,Cleveland,5025.0,Arkansas,723,2462,169,0.21556350626118068,0.7340488968395945,0.050387596899224806
285,Columbia,5027.0,Arkansas,3140,5456,291,0.3533250815798357,0.6139304602227973,0.03274445819736694
288,Conway,5029.0,Arkansas,2656,4849,422,0.3350573987637189,0.6117068247760817,0.05323577646019932
291,Craighead,5031.0,Arkansas,10538,22892,2143,0.29623590925702076,0.6435217721305484,0.060242318612430776
294,Crawford,5033.0,Arkansas,4488,16686,1276,0.1999109131403118,0.7432516703786192,0.05683741648106904
297,Crittenden,5035.0,Arkansas,8410,6964,578,0.5272066198595787,0.43655967903711135,0.03623370110330993
300,Cross,5037.0,Arkansas,1999,4584,291,0.29080593540878674,0.6668606342740763,0.04233343031713704
303,Dallas,5039.0,Arkansas,1165,1509,97,0.4204258390472754,0.5445687477444966,0.03500541320822808
306,Desha,5041.0,Arkansas,2228,1919,110,0.5233732675593141,0.4507869391590322,0.025839793281653745
309,Drew,5043.0,Arkansas,2365,3968,262,0.35860500379075055,0.6016679302501895,0.03972706595905989
312,Faulkner,5045.0,Arkansas,14629,29346,3552,0.3078039851032045,0.617459549308814,0.07473646558798157
315,Franklin,5047.0,Arkansas,1376,5039,355,0.20324963072378138,0.7443131462333825,0.05243722304283604
318,Fulton,5049.0,Arkansas,1067,3471,234,0.2235959765297569,0.7273679798826488,0.0490360435875943
321,Garland,5051.0,Arkansas,12311,26087,2407,0.3017032226442838,0.6393089082220316,0.058987869133684596
324,Grant,5053.0,Arkansas,1373,5725,347,0.18441907320349227,0.7689724647414372,0.046608462055070514
327,Greene,5055.0,Arkansas,3071,10720,809,0.21034246575342466,0.7342465753424657,0.05541095890410959
330,Hempstead,5057.0,Arkansas,2377,4401,271,0.33721095190807204,0.6243438785643354,0.03844516952759257
333,Hot,5059.0,Arkansas,3149,8172,623,0.26364701942397856,0.6841929002009377,0.052160080375083726
336,Howard,5061.0,Arkansas,1351,3157,166,0.28904578519469404,0.6754385964912281,0.03551561831407788
339,Independence,5063.0,Arkansas,2881,9936,797,0.21162039077420303,0.7298369325694138,0.05854267665638314
342,Izard,5065.0,Arkansas,1113,4042,293,0.20429515418502203,0.7419236417033774,0.05378120411160059
345,Jackson,5067.0,Arkansas,1583,3267,306,0.3070209464701319,0.6336307214895268,0.05934833204034135
348,Jefferson,5069.0,Arkansas,15772,9250,872,0.6090986328879278,0.35722561211091375,0.03367575500115857
351,Johnson,5071.0,Arkansas,2427,6091,594,0.26635206321334504,0.668459174714662,0.06518876207199298
354,Lafayette,5073.0,Arkansas,1032,1758,70,0.36083916083916084,0.6146853146853147,0.024475524475524476
357,Lawrence,5075.0,Arkansas,1263,4064,358,0.22216358839050132,0.7148636763412489,0.06297273526824979
360,Lee,5077.0,Arkansas,1735,1229,62,0.5733641771315268,0.4061467283542631,0.020489094514210177
363,Lincoln,5079.0,Arkansas,1252,2455,119,0.32723470987977,0.641662310507057,0.031102979613173026
366,Little,5081.0,Arkansas,1397,3605,225,0.2672661182322556,0.6896881576430075,0.043045724124736943
369,Logan,5083.0,Arkansas,1715,5746,460,0.21651306653200353,0.7254134578967302,0.058073475571266256
372,Lonoke,5085.0,Arkansas,5664,19958,1478,0.20900369003690036,0.7364575645756457,0.054538745387453874
375,Madison,5087.0,Arkansas,1588,4928,325,0.23212980558397894,0.7203625200994007,0.047507674316620375
378,Marion,5089.0,Arkansas,1434,5336,337,0.2017728999577881,0.7508090614886731,0.047418038553538766
381,Miller,5091.0,Arkansas,4273,11294,524,0.265552172021627,0.7018830402088124,0.03256478776956062
384,Mississippi,5093.0,Arkansas,5670,7061,473,0.42941532868827625,0.5347621932747653,0.0358224780369585
387,Monroe,5095.0,Arkansas,1312,1489,83,0.4549237170596394,0.5162968099861304,0.028779472954230237
390,Montgomery,5097.0,Arkansas,748,2643,168,0.2101713964596797,0.7426243326777184,0.04720427086260186
393,Nevada,5099.0,Arkansas,1157,2000,89,0.35643869377695625,0.6161429451632778,0.027418361059765865
396,Newton,5101.0,Arkansas,699,2875,179,0.18625099920063948,0.7660538236077804,0.04769517719158007
399,Ouachita,5103.0,Arkansas,4321,5351,263,0.43492702566683444,0.5386009058882738,0.0264720684448918
402,Perry,5105.0,Arkansas,1049,3008,249,0.24361356247097074,0.6985601486298189,0.057826288899210404
405,Phillips,5107.0,Arkansas,4310,2446,197,0.619876312383144,0.35179059398820656,0.028333093628649504
408,Pike,5109.0,Arkansas,685,3150,146,0.1720673197689023,0.7912584777694047,0.03667420246169304
411,Poinsett,5111.0,Arkansas,1880,5502,340,0.24346024346024345,0.7125097125097125,0.04403004403004403
414,Polk,5113.0,Arkansas,1212,6618,401,0.14724820799416838,0.8040335317701373,0.048718260235694325
417,Pope,5115.0,Arkansas,5000,16256,1313,0.22154282422792326,0.7202800301298241,0.058177145642252646
420,Prairie,5117.0,Arkansas,814,2505,125,0.23635307781649245,0.7273519163763066,0.03629500580720093
423,Pulaski,5119.0,Arkansas,89574,61257,8945,0.5606223713198478,0.3833930002002804,0.05598462847987182
426,Randolph,5121.0,Arkansas,1425,4509,445,0.22338924596331713,0.7068506035428751,0.06976015049380781
429,St.,5123.0,Arkansas,4031,3195,204,0.5425302826379542,0.4300134589502019,0.027456258411843876
432,Saline,5125.0,Arkansas,13256,35863,2981,0.2544337811900192,0.6883493282149712,0.0572168905950096
435,Scott,5127.0,Arkansas,602,2731,177,0.17150997150997152,0.778062678062678,0.05042735042735043
438,Searcy,5129.0,Arkansas,601,2955,172,0.16121244635193133,0.7926502145922747,0.046137339055793994
441,Sebastian,5131.0,Arkansas,12300,29127,3210,0.2755561529672693,0.6525304119900531,0.0719134350426776
444,Sevier,5133.0,Arkansas,1075,3282,205,0.2356422621657168,0.7194213064445418,0.04493643138974134
447,Sharp,5135.0,Arkansas,1472,5407,370,0.20306249137812113,0.7458959856531936,0.05104152296868534
450,Stone,5137.0,Arkansas,1203,4113,302,0.21413314346742612,0.7321110715557138,0.053755784976860094
453,Union,5139.0,Arkansas,5855,10456,583,0.34657274772108443,0.6189179590387119,0.034509293240203624
456,Van,5141.0,Arkansas,1549,5382,408,0.21106417768088295,0.7333424172230549,0.055593405096062136
459,Washington,5143.0,Arkansas,33366,41476,7019,0.407593359475208,0.5066637348676415,0.08574290565715054
462,White,5145.0,Arkansas,5170,21077,972,0.18994085014144532,0.7743488004702598,0.03571034938829494
465,Woodruff,5147.0,Arkansas,1118,1347,106,0.4348502528199144,0.5239206534422404,0.041229093737845196
468,Yell,5149.0,Arkansas,1480,4608,351,0.22984935548998292,0.7156390743904333,0.05451157011958379
471,Alameda,6001.0,California,514842,95922,43502,0.7869001293052061,0.14661009436528874,0.06648977632950512
474,Alpine,6003.0,California,334,217,51,0.5548172757475083,0.36046511627906974,0.08471760797342193
477,Amador,6005.0,California,6004,10485,1245,0.33855870080072176,0.5912371715349047,0.07020412766437352
480,Butte,6007.0,California,41567,45144,8853,0.4349650496002679,0.47239546272654975,0.09263948767318236
483,Calaveras,6009.0,California,7944,13511,1681,0.3433609958506224,0.583981673582296,0.07265733056708161
486,Colusa,6011.0,California,2661,3551,420,0.4012364294330519,0.5354342581423401,0.06332931242460796
489,Contra,6013.0,California,319287,115956,30932,0.684908028101035,0.24873920737920308,0.0663527645197619
492,Del,6015.0,California,3485,5134,939,0.36461602845783636,0.5371416614354467,0.09824231010671688
495,El,6017.0,California,36404,49247,7940,0.3889690247993931,0.5261937579468111,0.08483721725379577
498,Fresno,6019.0,California,141341,124049,16929,0.500642889780709,0.43939302703679173,0.05996408318249923
501,Glenn,6021.0,California,3065,5788,617,0.3236536430834213,0.6111932418162619,0.0651531151003168
504,Humboldt,6023.0,California,33200,18373,7673,0.5603753839921682,0.3101137629544611,0.12951085305337068
507,Imperial,6025.0,California,32667,12704,2720,0.6792747083653906,0.26416585223846456,0.05655943939614481
510,Inyo,6027.0,California,3155,4248,683,0.39018055899084836,0.5253524610437794,0.08446697996537225
513,Kern,6029.0,California,98689,129584,15890,0.4041931005107244,0.530727423893055,0.06507947559622056
516,Kings,6031.0,California,13617,18093,2205,0.40150375939849625,0.5334807607253428,0.06501547987616099
519,Lake,6033.0,California,11496,10599,2401,0.46930111038536904,0.4326828870019595,0.09801600261267146
522,Lassen,6035.0,California,2224,7574,726,0.2113264918282022,0.7196883314329152,0.06898517673888255
525,Los,6037.0,California,2464364,769743,200201,0.7175722154215638,0.22413336252892868,0.0582944220495075
528,Madera,6039.0,California,17029,23357,2726,0.3949944331044721,0.5417749118574875,0.06323065503804046
531,Marin,6041.0,California,108707,21771,8795,0.7805317613607806,0.15631888449304604,0.06314935414617334
534,Mariposa,6043.0,California,3122,5185,570,0.3516953925875859,0.5840937253576659,0.06421088205474823
537,Mendocino,6045.0,California,22079,10888,4510,0.5891346692638152,0.29052485524455,0.12034047549163487
540,Merced,6047.0,California,37317,28725,4747,0.5271581742926161,0.4057833844241337,0.06705844128325023
543,Modoc,6049.0,California,877,2696,215,0.23152059134107708,0.7117212249208026,0.05675818373812038
546,Mono,6051.0,California,2773,2111,392,0.525587566338135,0.4001137225170584,0.07429871114480667
549,Monterey,6053.0,California,89088,34895,9425,0.6677860398177021,0.2615660230271048,0.07064793715519309
552,Napa,6055.0,California,39199,17411,4762,0.6387114645115036,0.28369614808055793,0.07759238740793847
555,Nevada,6057.0,California,26053,23365,5517,0.47425138800400474,0.4253208337125694,0.10042777828342586
558,Orange,6059.0,California,609961,507148,80412,0.5093530718876746,0.4234982100522663,0.06714871806005908
561,Placer,6061.0,California,73509,95138,14192,0.40204223387789256,0.5203375647427518,0.0776202013793556
564,Plumas,6063.0,California,3459,5420,797,0.357482430756511,0.5601488218272013,0.08236874741628772
567,Riverside,6065.0,California,373695,333243,44453,0.49733760452281167,0.4435014526391719,0.05916094283801643
570,Sacramento,6067.0,California,326023,189789,43518,0.5828813044177855,0.3393148946060465,0.07780380097616792
573,San,6069.0,California,12521,7841,1562,0.571109286626528,0.3576445904032111,0.0712461229702609
576,San,6071.0,California,340833,271240,41910,0.5211649232472404,0.4147508421472729,0.06408423460548669
579,San,6073.0,California,735476,477766,93158,0.5629791794243724,0.3657118799755052,0.07130894060012248
582,San,6075.0,California,345084,37688,23020,0.8503962621244381,0.09287516757353521,0.05672857030202665
585,San,6077.0,California,121124,88936,14106,0.5403317184586423,0.39674170034706424,0.06292658119429352
588,San,6079.0,California,67107,56164,11738,0.4970557518387663,0.416001896169885,0.08694235199134873
591,San,6081.0,California,237882,57929,18573,0.7566606443075984,0.1842619217262965,0.059077433966105146
594,Santa,6083.0,California,107142,56365,13279,0.6060547780932879,0.3188318079485932,0.07511341395811885
597,Santa,6085.0,California,511684,144826,47199,0.7271244221688227,0.20580381947651658,0.06707175835466081
600,Santa,6087.0,California,95249,22438,11134,0.7393903167961745,0.17417967567399725,0.08643000752982821
603,Shasta,6089.0,California,22301,51778,5974,0.2785779421133499,0.6467964973205251,0.07462556056612495
606,Sierra,6091.0,California,601,1048,181,0.3284153005464481,0.5726775956284152,0.09890710382513661
609,Siskiyou,6093.0,California,7234,11341,1917,0.35301581104821395,0.5534354870193247,0.09354870193246145
612,Solano,6095.0,California,102360,51920,11833,0.6162070397861696,0.31255831873483714,0.07123464147899322
615,Sonoma,6097.0,California,160435,51408,19410,0.6937639727917043,0.22230198094727419,0.08393404626102148
618,Stanislaus,6099.0,California,81647,78494,12005,0.474289266088088,0.455973417912702,0.06973731599920997
621,Sutter,6101.0,California,13076,18176,2271,0.390060555439549,0.5421949109566566,0.06774453360379441
624,Tehama,6103.0,California,6809,15494,1605,0.28480006692320564,0.6480675924376778,0.06713234063911662
627,Trinity,6105.0,California,2214,2812,660,0.38937741822018995,0.4945480126626803,0.1160745691171298
630,Tulare,6107.0,California,47585,58299,6450,0.42360282728292414,0.5189791158509445,0.057418056866131356
633,Tuolumne,6109.0,California,9123,14551,1855,0.35735829840573463,0.5699792392964863,0.07266246229777899
636,Ventura,6111.0,California,194402,132323,25001,0.5527086425228729,0.3762104592779607,0.0710808981991664
639,Yolo,6113.0,California,54752,20739,6599,0.6669752710439761,0.25263734925082226,0.08038737970520161
642,Yuba,6115.0,California,7910,13170,1918,0.3439429515610053,0.5726584920427863,0.08339855639620837
645,Adams,8001.0,Colorado,96558,80082,17025,0.4985826039811014,0.41350786151343816,0.08790953450546046
648,Alamosa,8003.0,Colorado,3189,3046,704,0.45957630782533504,0.4389681510304078,0.1014555411442571
651,Arapahoe,8005.0,Colorado,159885,117053,26108,0.5275931706737591,0.3862548919965946,0.08615193732964632
654,Archuleta,8007.0,Colorado,2500,4264,575,0.34064586455920426,0.5810055865921788,0.07834854884861697
657,Baca,8009.0,Colorado,283,1753,117,0.13144449605202044,0.8142127264282397,0.0543427775197399
660,Bent,8011.0,Colorado,590,1188,149,0.3061754021795537,0.6165023352361183,0.07732226258432798
663,Boulder,8013.0,Colorado,132334,41396,14412,0.7033729842353116,0.220025300039332,0.07660171572535637
666,Broomfield,8014.0,Colorado,19731,14367,3591,0.5235214518825121,0.3811987582583778,0.09527978985911008
669,Chaffee,8015.0,Colorado,4888,5391,971,0.43448888888888887,0.4792,0.08631111111111112
672,Cheyenne,8017.0,Colorado,132,925,45,0.11978221415607986,0.8393829401088929,0.04083484573502722
675,Clear,8019.0,Colorado,2729,2575,562,0.4652233208319127,0.4389703375383566,0.09580634162973065
678,Conejos,8021.0,Colorado,1771,1914,337,0.44032819492789654,0.47588264545002484,0.08378915962207857
681,Costilla,8023.0,Colorado,1125,588,135,0.6087662337662337,0.3181818181818182,0.07305194805194805
684,Crowley,8025.0,Colorado,339,1079,109,0.2220039292730845,0.7066142763588736,0.07138179436804191
687,Custer,8027.0,Colorado,797,2061,208,0.2599478147423353,0.6722113502935421,0.06784083496412263
690,Delta,8029.0,Colorado,4087,11655,1048,0.24341870160810006,0.6941631923764146,0.062418106015485406
693,Denver,8031.0,Colorado,244551,62690,24611,0.7369279076214698,0.1889095138796813,0.07416257849884889
696,Dolores,8033.0,Colorado,242,944,69,0.19282868525896416,0.7521912350597609,0.0549800796812749
699,Douglas,8035.0,Colorado,68657,102573,16269,0.36617261958730446,0.5470589176475608,0.08676846276513475
702,Eagle,8037.0,Colorado,14099,8990,2134,0.5589739523450818,0.35642072711414186,0.08460532054077627
705,Elbert,8039.0,Colorado,3134,11705,1139,0.19614469896107148,0.7325697834522469,0.07128551758668168
708,El,8041.0,Colorado,108010,179228,31729,0.3386243718002176,0.5619013879178724,0.09947424028191004
711,Fremont,8043.0,Colorado,5297,15122,1554,0.2410685841714832,0.6882082555864015,0.07072316024211532
714,Garfield,8045.0,Colorado,11271,13132,2067,0.4258027956176804,0.4961088024178315,0.0780884019644881
717,Gilpin,8047.0,Colorado,1634,1566,376,0.4569351230425056,0.43791946308724833,0.10514541387024609
720,Grand,8049.0,Colorado,3358,4494,736,0.3910107126222636,0.5232883092687471,0.08570097810898929
